DOB,Date,Event_Name,Fighter_Name,Height,Location,Method,Passes,Reach,Result,Round,Stance,Strikes,Strikes_Per_Min,Submission_Attempts,TD_Avg,Takedowns,Time,Weight,Weight_Class
"Mar 20, 1982","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Robbie Lawler,"5' 11""","['\n\n      Las Vegas, Nevada, USA\n    ']",Other - Choke,1,"74""",Ben Askren,1,Southpaw,26,3.60,0,0.76,1,3:20,170 lbs.,Welterweight
"Dec 22, 1986","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Zak Ottow,"5' 11""","['\n\n      Wichita, Kansas, USA\n    ']",Elbows,0,"72""",Alex Morono,1,Orthodox,10,2.63,0,0.97,1,3:34,170 lbs.,Welterweight
"Apr 07, 1982","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Tyron Woodley,"5' 9""","['\n\n      Las Vegas, Nevada, USA\n    ']",,0,"74""",Kamaru Usman,5,Orthodox,34,2.50,0,1.21,0,5:00,170 lbs.,Welterweight
"May 11, 1987","['\n      March 02, 2019\n    ']",UFC 235: Jones vs. Smith,Kamaru Usman,"6' 0""","['\n\n      Las Vegas, Nevada, USA\n    ']",U-DEC,7,"76""",Kamaru Usman,5,Switch,141,4.20,0,3.96,2,5:00,170 lbs.,Welterweight
"Jul 16, 1991","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Louis Smolka,"5' 9""","['\n\n      Wichita, Kansas, USA\n    ']",Triangle Choke,0,"68""",Matt Schnell,1,Orthodox,13,3.92,0,1.71,0,3:18,135 lbs.,Bantamweight
"Aug 16, 1990","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Alex Morono,"5' 11""","['\n\n      Wichita, Kansas, USA\n    ']",KO/TKO,2,"72""",Alex Morono,1,Orthodox,25,4.26,1,0.00,0,3:34,170 lbs.,Welterweight
"Jan 15, 1990","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Matt Schnell,"5' 8""","['\n\n      Wichita, Kansas, USA\n    ']",SUB,1,"70""",Matt Schnell,1,Orthodox,14,3.69,2,0.72,1,3:18,135 lbs.,Bantamweight
"May 17, 1988","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Jeff Hughes,"6' 2""","['\n\n      Wichita, Kansas, USA\n    ']",,0,"78""",Maurice Greene,3,Orthodox,66,6.02,0,1.54,0,5:00,250 lbs.,Heavyweight
"Jun 20, 1977","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Marion Reneau,"5' 6""","['\n\n      Wichita, Kansas, USA\n    ']",,0,"68""",Yana Kunitskaya,3,Orthodox,58,3.46,0,0.35,1,5:00,135 lbs.,Women's Bantamweight
"Nov 11, 1989","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Yana Kunitskaya,"5' 6""","['\n\n      Wichita, Kansas, USA\n    ']",U-DEC,0,"68""",Yana Kunitskaya,3,Orthodox,98,5.24,0,3.14,1,5:00,135 lbs.,Women's Bantamweight
"Jan 28, 1981","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Tim Boetsch,"6' 0""","['\n\n      Wichita, Kansas, USA\n    ']",,0,"74""",Omari Akhmedov,3,Orthodox,41,2.93,0,1.45,0,5:00,185 lbs.,Middleweight
"Oct 12, 1987","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Omari Akhmedov,"6' 0""","['\n\n      Wichita, Kansas, USA\n    ']",U-DEC,0,"73""",Omari Akhmedov,3,Orthodox,52,3.07,0,2.51,0,5:00,185 lbs.,Middleweight
"May 06, 1989","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Beneil Dariush,"5' 10""","['\n\n      Wichita, Kansas, USA\n    ']",SUB,4,"72""",Beneil Dariush,2,Southpaw,37,3.91,1,1.59,2,4:41,155 lbs.,Lightweight
"Oct 17, 1981","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Ben Rothwell,"6' 4""","['\n\n      Wichita, Kansas, USA\n    ']",,0,"78""",Blagoy Ivanov,3,Orthodox,70,3.06,0,0.76,0,5:00,265 lbs.,Heavyweight
"Sep 29, 1989","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Niko Price,"6' 0""","['\n\n      Wichita, Kansas, USA\n    ']",KO/TKO,0,"76""",Niko Price,1,Orthodox,32,2.93,0,1.29,0,4:50,170 lbs.,Welterweight
"Feb 20, 1984","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Tim Means,"6' 2""","['\n\n      Wichita, Kansas, USA\n    ']",Punch,1,"75""",Niko Price,1,Orthodox,31,4.82,0,0.88,1,4:50,170 lbs.,Welterweight
"Dec 11, 1986","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Elizeu Zaleski dos Santos,"5' 11""","['\n\n      Wichita, Kansas, USA\n    ']",SUB,2,"73""",Elizeu Zaleski dos Santos,1,Orthodox,6,4.27,1,0.53,1,2:35,170 lbs.,Welterweight
"Jan 03, 1987","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Mike Grundy,"5' 7""","['\n\n      London, England, United Kingdom\n    ']",KO/TKO,1,"72""",Mike Grundy,2,Orthodox,33,3.40,0,1.55,1,4:42,145 lbs.,Featherweight
"Feb 07, 1985","['\n      March 09, 2019\n    ']",UFC Fight Night: Lewis vs. Dos Santos,Derrick Lewis,"6' 3""","['\n\n      Wichita, Kansas, USA\n    ']",Punches,0,"79""",Junior Dos Santos,2,Orthodox,7,2.69,0,0.47,0,1:58,260 lbs.,Heavyweight
"Jul 17, 1988","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Danny Henry,"6' 0""","['\n\n      London, England, United Kingdom\n    ']",Rear Naked Choke,0,"73""",Dan Ige,1,Orthodox,4,5.85,0,0.89,0,1:17,145 lbs.,Featherweight
"Sep 04, 1994","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Nicolae Negumereanu,"6' 0""","['\n\n      London, England, United Kingdom\n    ']",,0,"78""",Saparbeg Safarov,3,Orthodox,11,0.73,0,0.00,0,5:00,205 lbs.,Light Heavyweight
"Oct 14, 1986","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Saparbeg Safarov,"6' 1""","['\n\n      London, England, United Kingdom\n    ']",U-DEC,7,"78""",Saparbeg Safarov,3,Orthodox,70,4.29,0,2.80,3,5:00,205 lbs.,Light Heavyweight
"Mar 16, 1993","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Marc Diakiese,"5' 10""","['\n\n      London, England, United Kingdom\n    ']",U-DEC,2,"73""",Marc Diakiese,3,Orthodox,63,2.89,0,2.23,3,5:00,155 lbs.,Lightweight
"Feb 18, 1988","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Joe Duffy,"5' 10""","['\n\n      London, England, United Kingdom\n    ']",,0,"73""",Marc Diakiese,3,Orthodox,15,2.56,0,0.75,1,5:00,155 lbs.,Lightweight
"Sep 25, 1987","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Jordan Rinaldi,"5' 10""","['\n\n      London, England, United Kingdom\n    ']",,0,"72""",Arnold Allen,3,Orthodox,30,1.56,0,1.45,0,5:00,145 lbs.,Featherweight
"Jun 09, 1985","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,John Phillips,"5' 11""","['\n\n      London, England, United Kingdom\n    ']",,0,"75""",Jack Marshman,3,Southpaw,32,2.51,0,0.00,0,5:00,185 lbs.,Middleweight
"Sep 06, 1982","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Claudio Silva,"5' 11""","['\n\n      London, England, United Kingdom\n    ']",SUB,5,"71""",Claudio Silva,3,Southpaw,19,2.27,4,3.18,3,2:37,170 lbs.,Welterweight
"Jul 28, 1990","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Jose Quinonez,"5' 8""","['\n\n      London, England, United Kingdom\n    ']",Rear Naked Choke,1,"69""",Nathaniel Wood,2,,34,3.38,0,2.77,1,2:46,135 lbs.,Bantamweight
"May 08, 1993","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Nathaniel Wood,"5' 6""","['\n\n      London, England, United Kingdom\n    ']",SUB,3,"69""",Nathaniel Wood,2,Orthodox,30,4.24,2,2.05,2,2:46,135 lbs.,Bantamweight
"Sep 19, 1989","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Volkan Oezdemir,"6' 2""","['\n\n      London, England, United Kingdom\n    ']",,0,"75""",Dominick Reyes,3,Orthodox,35,4.73,0,0.57,1,5:00,205 lbs.,Light Heavyweight
"Dec 26, 1989","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Dominick Reyes,"6' 4""","['\n\n      London, England, United Kingdom\n    ']",S-DEC,0,"77""",Dominick Reyes,3,Southpaw,44,5.05,0,0.40,0,5:00,205 lbs.,Light Heavyweight
"Jul 28, 1988","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Gunnar Nelson,"5' 11""","['\n\n      London, England, United Kingdom\n    ']",,1,"72""",Leon Edwards,3,Switch,9,1.76,0,1.95,3,5:00,170 lbs.,Welterweight
"Aug 25, 1991","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Leon Edwards,"6' 2""","['\n\n      London, England, United Kingdom\n    ']",S-DEC,1,"74""",Leon Edwards,3,Southpaw,31,2.35,0,1.33,2,5:00,170 lbs.,Welterweight
"Dec 24, 1992","['\n      March 16, 2019\n    ']",UFC Fight Night: Till vs. Masvidal,Darren Till,"6' 0""","['\n\n      London, England, United Kingdom\n    ']",Punch,0,"74""",Jorge Masvidal,2,Southpaw,21,2.41,0,0.61,1,3:05,170 lbs.,Welterweight
"Nov 08, 1989","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Jordan Espinosa,"5' 6""","['\n\n      Nashville, Tennessee, USA\n    ']",U-DEC,0,"71""",Jordan Espinosa,3,Orthodox,47,4.56,0,0.96,1,5:00,125 lbs.,Flyweight
"Mar 18, 1993","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Ryan MacDonald,"5' 11""","['\n\n      Nashville, Tennessee, USA\n    ']",,0,"71""",Chris Gutierrez,3,Switch,15,1.00,0,0.00,0,5:00,135 lbs.,Bantamweight
"Aug 12, 1980","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Frankie Saenz,"5' 6""","['\n\n      Nashville, Tennessee, USA\n    ']",Punch,0,"66""",Marlon Vera,1,Orthodox,4,3.97,0,1.77,0,1:25,135 lbs.,Bantamweight
"Jun 01, 1990","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Bobby Moffett,"5' 10""","['\n\n      Nashville, Tennessee, USA\n    ']",,4,"74""",Bryce Mitchell,3,Orthodox,9,2.05,2,4.17,5,5:00,145 lbs.,Featherweight
"Sep 29, 1992","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,JJ Aldrich,"5' 5""","['\n\n      Nashville, Tennessee, USA\n    ']",Punches,0,"67""",Maycee Barber,2,Southpaw,25,3.65,0,0.22,0,3:01,125 lbs.,Women's Flyweight
"Oct 04, 1994","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Bryce Mitchell,"5' 10""","['\n\n      Nashville, Tennessee, USA\n    ']",U-DEC,1,--,Bryce Mitchell,3,Southpaw,17,1.83,2,1.50,0,5:00,145 lbs.,Featherweight
"May 29, 1990","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Steven Peterson,"5' 10""","['\n\n      Nashville, Tennessee, USA\n    ']",,2,"70""",Luis Pena,3,Orthodox,34,4.38,1,2.25,4,5:00,145 lbs.,Featherweight
"May 18, 1998","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Maycee Barber,"5' 5""","['\n\n      Nashville, Tennessee, USA\n    ']",KO/TKO,0,"65""",Maycee Barber,2,Switch,55,8.03,0,1.54,0,3:01,125 lbs.,Women's Flyweight
"Dec 18, 1987","['\n      March 23, 2019\n    ']",UFC Fight Night: Thompson vs. Pettis,Deiveson Figueiredo,"5' 5""","['\n\n      Nashville, Tennessee, USA\n    ']",,0,"68""",Jussier Formiga,3,Orthodox,14,1.91,0,1.82,0,5:00,125 lbs.,Flyweight
"Mar 21, 1992","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Alex Perez,"5' 6""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",U-DEC,1,"65""",Alex Perez,3,Orthodox,60,4.68,0,3.13,2,5:00,135 lbs.,Bantamweight
"Sep 08, 1991","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Maryna Moroz,"5' 7""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",U-DEC,0,"67""",Maryna Moroz,3,Orthodox,56,3.25,0,0.33,1,5:00,125 lbs.,Women's Flyweight
"Mar 25, 1997","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Sabina Mazo,"5' 7""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",,0,"70""",Maryna Moroz,3,Orthodox,64,4.27,0,0.00,0,5:00,125 lbs.,Women's Flyweight
"Aug 04, 1993","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Ray Borg,"5' 4""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",,3,"63""",Casey Kenney,3,Orthodox,17,1.29,0,3.39,7,5:00,135 lbs.,Bantamweight
"Dec 18, 1987","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Gerald Meerschaert,"6' 1""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",,9,"77""",Kevin Holland,3,Southpaw,10,2.63,4,3.64,6,5:00,185 lbs.,Middleweight
"Sep 26, 1984","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Ross Pearson,"5' 8""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",Punches,0,"69""",Desmond Green,1,Orthodox,12,3.68,0,0.74,0,2:52,155 lbs.,Lightweight
"Apr 28, 1989","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Enrique Barzola,"5' 7""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",,0,"70""",Kevin Aguilar,3,,52,3.51,0,5.29,0,5:00,145 lbs.,Featherweight
"May 08, 1982","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Jessica Aguilar,"5' 3""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",,1,"63""",Marina Rodriguez,3,Orthodox,50,4.93,1,0.94,0,5:00,115 lbs.,Women's Strawweight
"Apr 29, 1987","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Marina Rodriguez,"5' 6""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",U-DEC,0,"65""",Marina Rodriguez,3,Orthodox,118,6.44,0,0.45,0,5:00,115 lbs.,Women's Strawweight
"May 19, 1993","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Sodiq Yusuff,"5' 9""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",U-DEC,1,"71""",Sodiq Yusuff,3,Orthodox,73,6.42,0,0.00,0,5:00,145 lbs.,Featherweight
"Jun 13, 1992","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Kennedy Nzechukwu,"6' 5""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",Triangle Choke,1,"83""",Paul Craig,3,Southpaw,40,5.17,0,0.00,0,4:20,205 lbs.,Light Heavyweight
"Jan 06, 1986","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Michelle Waterson,"5' 3""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",U-DEC,1,"62""",Michelle Waterson,3,Orthodox,64,3.61,1,2.19,2,5:00,115 lbs.,Women's Strawweight
"Jun 04, 1986","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Michael Johnson,"5' 10""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",Punch,0,"73""",Josh Emmett,3,Southpaw,24,4.15,0,0.56,0,4:14,145 lbs.,Featherweight
"Sep 26, 1981","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,David Branch,"6' 1""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",Guillotine Choke,0,"78""",Jack Hermansson,1,Orthodox,1,1.66,0,2.55,0,0:49,185 lbs.,Middleweight
"Jan 21, 1986","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Edson Barboza,"5' 11""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",Punch,0,"75""",Justin Gaethje,1,Orthodox,13,4.01,0,0.46,0,2:30,155 lbs.,Lightweight
"Nov 14, 1988","['\n      March 30, 2019\n    ']",UFC Fight Night: Barboza vs. Gaethje,Justin Gaethje,"5' 11""","['\n\n      Philadelphia, Pennsylvania, USA\n    ']",KO/TKO,0,"70""",Justin Gaethje,1,Orthodox,20,8.50,0,0.00,0,2:30,155 lbs.,Lightweight
"May 08, 1990","['\n      April 13, 2019\n    ']",UFC 236: Holloway vs. Poirier 2,Brandon Davis,"5' 10""","['\n\n      Atlanta, Georgia, USA\n    ']",SUB,0,"72""",Brandon Davis,2,Orthodox,35,5.03,1,0.20,0,1:12,135 lbs.,Bantamweight
"Nov 15, 1991","['\n      April 13, 2019\n    ']",UFC 236: Holloway vs. Poirier 2,Lauren Mueller,"5' 5""","['\n\n      Atlanta, Georgia, USA\n    ']",,1,"67""",Poliana Botelho,3,Orthodox,47,4.22,0,0.61,0,5:00,125 lbs.,Women's Flyweight
"Dec 15, 1988","['\n      April 13, 2019\n    ']",UFC 236: Holloway vs. Poirier 2,Poliana Botelho,"5' 8""","['\n\n      Atlanta, Georgia, USA\n    ']",U-DEC,2,"67""",Poliana Botelho,3,Orthodox,47,3.65,0,1.27,2,5:00,115 lbs.,Women's Flyweight
"Apr 24, 1992","['\n      April 13, 2019\n    ']",UFC 236: Holloway vs. Poirier 2,Montel Jackson,"5' 10""","['\n\n      Atlanta, Georgia, USA\n    ']",U-DEC,3,"75""",Montel Jackson,3,Southpaw,64,3.87,0,2.73,3,5:00,135 lbs.,Bantamweight
"Jul 09, 1988","['\n      April 13, 2019\n    ']",UFC 236: Holloway vs. Poirier 2,Belal Muhammad,"5' 11""","['\n\n      Atlanta, Georgia, USA\n    ']",U-DEC,6,"72""",Belal Muhammad,3,Orthodox,47,4.39,0,2.11,2,5:00,170 lbs.,Welterweight
